id_feed;code_feed;media_name;language;country;media_code;type_feed;periodicity;url_media;url_feed;date_first_item;active_feed;date_last_item
1466600;de_DEU_anzeig_int;General Anzeiger;de;DEU;anzeig;International;quotidien;http://www.general-anzeiger-bonn.de/;http://www.general-anzeiger-bonn.de/?service=rss&p=ga-info.xml;02/05/2014;t;
1466518;de_DEU_anzeig_brn;General Anzeiger;de;DEU;anzeig;Breaking news;quotidien;http://www.general-anzeiger-bonn.de/;http://www.general-anzeiger-bonn.de/?service=rss&p=rr-gesamt.xml;02/05/2014;t;
4265098;de_DEU_google_nat;Google News Allemagne;de;DEU;google;National;autre;http://news.google.de;http://news.google.de/news?pz=1&cf=all&ned=de&hl=de&topic=n&output=rss;12/01/2015;t;
4265086;de_DEU_google_int;Google News Allemagne;de;DEU;google;International;autre;http://news.google.de;http://news.google.de/news?pz=1&cf=all&ned=de&hl=de&topic=w&output=rss;12/01/2015;t;
4265074;de_DEU_google_une;Google News Allemagne;de;DEU;google;Une;autre;http://news.google.de;http://news.google.de/news?pz=1&cf=all&ned=de&hl=de&output=rss;12/01/2015;t;
4265149;es_ARG_google_une;Google News Argentine;es;ARG;google;Une;autre;http://news.google.com.ar;http://news.google.com.ar/news?pz=1&cf=all&ned=ar&hl=es&output=rss;12/01/2015;t;
4265161;es_ARG_google_int;Google News Argentine;es;ARG;google;International;autre;http://news.google.com.ar;http://news.google.com.ar/news?pz=1&cf=all&ned=ar&hl=es&topic=w&output=rss;12/01/2015;t;
4265173;es_ARG_google_nat;Google News Argentine;es;ARG;google;National;autre;http://news.google.com.ar;http://news.google.com.ar/news?pz=1&cf=all&ned=ar&hl=es&topic=n&output=rss;12/01/2015;t;
4445710;pt_BRA_google_nat;Google News Brésil;pt;BRA;google;National;autre;http://news.google.com.br;http://news.google.com.br/news?pz=1&cf=all&ned=pt-BR_br&hl=pt&topic=n&output=rss;26/01/2015;t;
4445706;pt_BRA_google_une;Google News Brésil;pt;BRA;google;Une;autre;http://news.google.com.br;http://news.google.com.br/news?pz=1&cf=all&ned=pt-BR_br&hl=pt&output=rss;26/01/2015;t;
4445708;pt_BRA_google_int;Google News Brésil;pt;BRA;google;International;autre;http://news.google.com.br;http://news.google.com.br/news?pz=1&cf=all&ned=pt-BR_br&hl=pt&topic=w&output=rss;26/01/2015;t;
4265111;en_USA_google_une;Google News Etats-unis;en;USA;google;Une;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&output=rss;12/01/2015;t;
4265135;en_USA_google_nat;Google News Etats-unis;en;USA;google;National;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&topic=n&output=rss;12/01/2015;t;
4265123;en_USA_google_int;Google News Etats-unis;en;USA;google;International;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&topic=w&output=rss;12/01/2015;t;
4264988;fr_FRA_google_nat;Google News France;fr;FRA;google;National;autre;http://news.google.fr/;http://news.google.fr/news?pz=1&cf=all&ned=fr&hl=fr&topic=n&output=rss;12/01/2015;t;
